slug,title,authors,date
930-mith-digital-dialogue-tom-scheinfeldt-and-dave-lester-omeka-easy-web-publishing-for-scholarship-and-cultural-heritage,"9/30 MITH Digital Dialogue: Tom Scheinfeldt and Dave Lester, ""Omeka: Easy Web Publishing for Scholarship and Cultural Heritage""",Digital Dialogues,9/24/2008 9:33
923-mith-digital-dialogue-joyce-ray-cyberinfrastructure-and-the-future-of-libraries,"9/23 MITH Digital Dialogue: Joyce Ray, ""Cyberinfrastructure and the Future of Libraries.""",Digital Dialogues,9/17/2008 13:42
digital-humanities-2009-cfp-available,Digital Humanities 2009 CFP Available!,MITH,9/11/2008 13:50
916-mith-digital-dialogue-stanley-katz-digital-humanities-30-where-we-have-come-from-and-where-we-are-now,9/16 MITH Digital Dialogue: Stanley Katz,Digital Dialogues,9/11/2008 10:30
fall-2008-digital-dialogues-schedule-posted,Fall 2008 Digital Dialogues Schedule Posted,Digital Dialogues,9/4/2008 14:56
september-9th-digitial-dialogue-doug-reside-the-mithological-axe-multimedia-metadata-encoding-with-the-ajax-xml-encoder,9/9 MITH Digitial Dialogue: Doug Reside,Digital Dialogues,9/2/2008 7:43
annual-mith-update-letter,Annual MITH Update Letter,MITH,8/28/2008 13:45
mith-wins-another-digital-humanities-start-up-award,MITH Wins Another Digital Humanities Start-Up Award!,MITH,8/28/2008 13:26
mith-joins-imls-funded-model-internship-program,MITH Partners with iSchool for IMLS-Funded Model Internship Program,MITH,6/19/2008 10:15
more-jobs-at-mith-coordinator-and-web-programmer,More Jobs at MITH: Coordinator and Web Programmer,MITH,6/6/2008 18:26
this-week-digital-diasporas,This Week: Digital Diasporas,MITH,4/28/2008 11:55
greg-cranes-digital-dialogue-canceled,Greg Crane's Digital Dialogue Canceled,Digital Dialogues,4/27/2008 20:30
were-hiring-full-time-tei-encoder-position-at-mith,We're Hiring: Full Time TEI Encoder Position at MITH,MITH,4/25/2008 12:13
april-29th-digital-dialogue-greg-crane-cyberinfrastructure-for-global-cultural-heritage,4/29 MITH Digital Dialogue: Greg Crane,Digital Dialogues,4/24/2008 4:21
april-22nd-digital-dialogue-jonathan-auerbach-early-cinema-as-new-media,"4/22 MITH Digital Dialogue: Jonathan Auerbach, ""Early Cinema as New Media""",Digital Dialogues,4/17/2008 20:21
new-ga-position-available,New GA Position Available,MITH,4/15/2008 10:51
april-15th-digital-dialogue-kari-kraus-rezzing-books-codex-technology-in-the-metaverse,"4/15 MITH Digital Dialogue: Kari Kraus, ""Rezzing Books: Codex Technology in the Metaverse""",Digital Dialogues,4/10/2008 8:16
april-8th-digital-dialogue-introducing-the-shakespeares-quartos-project,"4/8 MITH Digital Dialogue: ""Introducing the Shakespeare's Quartos Project""",Digital Dialogues,4/3/2008 10:55
mith-is-hiring-2,MITH is Hiring,MITH,4/1/2008 19:09
april-1st-digital-dialgue-sunil-iyengar-to-read-or-not-to-read,"4/1 MITH Digital Dialogue: Sunil Iyengar, ""To Read or Not to Read""",MITH,3/27/2008 10:25
mith-in-international-partnership-shares-new-nehjisc-grant-to-digitize-shakespeares-quartos,MITH in International Partnership Shares New NEH/JISC Grant to Digitize Shakespeare's Quartos,MITH,3/26/2008 11:24
march-25th-digital-dialogue-oni-buchanan-the-mandrake-vehicles-kinetic-poetry-in-physical-and-digital-forms,3/25 MITH Digital Dialogue: Oni Buchanan,Digital Dialogues,3/21/2008 10:59
digital-diasporas,"Announcing ""Digital Diasporas""",MITH,3/10/2008 10:19
mith-is-twittering,MITH is Twittering!,MITH,3/6/2008 14:43
maryland-institute-for-technology-in-the-humanities-emorys-manuscript-archives-and-rare-book-library-and-the-harry-ransom-center-partner-on-strategies-for-born-digital-literary-collections,"Maryland Institute for Technology in the Humanities, Emory's Manuscript, Archives, and Rare Book Library, and the Harry Ransom Center Partner on Strategies for Born-Digital Literary Collections",MITH,3/6/2008 11:01
february-26th-digital-dialogue-douglas-eyman-play-and-pedagogy-video-games-and-writing-instruction,"2/26 MITH Digital Dialogue: Douglas Eyman, ""Play and Pedagogy: Video Games and Writing Instruction""",Digital Dialogues,2/19/2008 10:23
february-12th-digital-dialogue-the-gamer-symphony-orchestra,2/12 MITH Digital Dialogue: The Gamer Symphony Orchestra,Digital Dialogues,2/7/2008 8:54
mith-welcomes-tanya-clement-as-winnemore-dissertation-fellow,MITH Welcomes Tanya Clement as Winnemore Dissertation Fellow,MITH,2/5/2008 15:49
